iter	Passed	Remaining
0	58	1105
1	62	566
2	67	382
3	72	288
4	76	229
5	82	193
6	87	162
7	89	134
8	96	117
9	102	102
10	107	87
11	111	74
12	115	62
13	120	51
14	124	41
15	129	32
16	133	23
17	137	15
18	142	7
19	146	0
